epoch,address,loss_reason,weight,confirmation_weight,effective_weight,expected_reward_gnk,actual_reward_gnk,calculated_compensation_gnk,grc_e247_source_compensation_gnk,all_sources_compensation_gnk,final_reward_delta_gnk,payout_to_make_base_units,payout_to_make_gnk,source_url,notes
249,gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,failed_confirmation_poc,49939,3204,0,19372.942551045,0.000000000,19853.590457906,480.647906861,480.647906861,19372.942551045,19372942551045,19372.942551045,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; subgroup voting_power capped the confirmation weight; expected reward uses full chain weight because confirmation failure zeroed effective weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=19372942551045; expected_reward_weight=49939; expected_reward_base_units=19372942551045
249,gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,failed_confirmation_poc,2299,0,0,891.855962771,0.000000000,2482.377688462,1590.521725691,1590.521725691,891.855962771,891855962771,891.855962771,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=891855962771; expected_reward_weight=2299; expected_reward_base_units=891855962771
249,gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,failed_confirmation_poc,915,0,0,354.957897318,0.000000000,988.838994825,633.881097507,633.881097507,354.957897318,354957897318,354.957897318,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=354957897318; expected_reward_weight=915; expected_reward_base_units=354957897318
249,gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,failed_confirmation_poc,908,0,0,352.242372421,0.000000000,981.080352261,628.837979840,628.837979840,352.242372421,352242372421,352.242372421,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=352242372421; expected_reward_weight=908; expected_reward_base_units=352242372421
249,gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,failed_confirmation_poc,881,0,0,341.768204959,0.000000000,951.209578388,609.441373429,609.441373429,341.768204959,341768204959,341.768204959,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=341768204959; expected_reward_weight=881; expected_reward_base_units=341768204959
249,gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,failed_confirmation_poc,859,0,0,333.233698138,0.000000000,927.545718566,594.312020429,594.312020429,333.233698137,333233698137,333.233698137,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=333233698138; expected_reward_weight=859; expected_reward_base_units=333233698138
249,gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,failed_confirmation_poc,839,0,0,325.475055574,0.000000000,906.597383643,581.122328070,581.122328070,325.475055573,325475055573,325.475055573,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=325475055574; expected_reward_weight=839; expected_reward_base_units=325475055574
249,gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,failed_confirmation_poc,735,0,0,285.130114239,0.000000000,793.709134331,508.579020093,508.579020093,285.130114238,285130114238,285.130114238,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=285130114239; expected_reward_weight=735; expected_reward_base_units=285130114239
249,gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,failed_confirmation_poc,557,0,0,216.078195417,0.000000000,602.458595121,386.380399704,386.380399704,216.078195417,216078195417,216.078195417,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=216078195417; expected_reward_weight=557; expected_reward_base_units=216078195417
249,gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,failed_confirmation_poc,378,0,0,146.638344466,0.000000000,408.492531012,261.854186547,261.854186547,146.638344465,146638344465,146.638344465,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=146638344466; expected_reward_weight=378; expected_reward_base_units=146638344466
251,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,failed_confirmation_poc,3570,3570,0,1443.264299005,0.000000000,1561.312807495,118.048508760,118.048508760,1443.264298735,1443264298735,1443.264298735,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; subgroup voting_power capped the confirmation weight; expected reward uses full chain weight because confirmation failure zeroed effective weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=1443264299005; expected_reward_weight=3570; expected_reward_base_units=1443264299005
251,gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,failed_confirmation_poc,542,0,0,219.117436991,0.000000000,610.860603863,391.743167000,391.743167000,219.117436863,219117436863,219.117436863,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=219117436991; expected_reward_weight=542; expected_reward_base_units=219117436991
251,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,missed_requests,1073,1069,0,119.261335632,0.000000000,235.692741266,116.431406052,116.431406052,119.261335214,119261335214,119.261335214,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,downtime punishment reduced effective reward to zero; subgroup voting_power capped the confirmation weight; chain_effective_reward_base_units=0; full_weight_reward_base_units=433787841129; expected_reward_weight=295; expected_reward_base_units=119261335632
252,gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,failed_confirmation_poc,461,0,0,195.821115836,0.000000000,607.427756282,411.606640214,411.606640214,195.821116068,195821116068,195.821116068,https://github.com/gonkalabs/GRC-e247-preserver-audit/blob/1b8a26704dcddea0de2f55cabf48fee3d9b100d4/RESTITUTION_REPORT.md,participant excluded from distribution; chain_effective_reward_base_units=0; full_weight_reward_base_units=195821115836; expected_reward_weight=461; expected_reward_base_units=195821115836
